event,mode,event_def,mode_def,extraction_notes
ACCUSE,investigate,"ACCUSE covers a wide range of events, including any kind of accusation, disapproval or criticism, investigation, or legal accusation","Any investigation, including commissions, grand juries, judicial or political",
ACCUSE,investigate,"ACCUSE covers a wide range of events, including any kind of accusation, disapproval or criticism, investigation, or legal accusation",Investigation of corruption,
ACCUSE,investigate,"ACCUSE covers a wide range of events, including any kind of accusation, disapproval or criticism, investigation, or legal accusation",Investigation of war crimes or human rights abuses,
ACCUSE,investigate,"ACCUSE covers a wide range of events, including any kind of accusation, disapproval or criticism, investigation, or legal accusation",Investigations into whether a ceasefire was violated,
ACCUSE,allege,"ACCUSE covers a wide range of events, including any kind of accusation, disapproval or criticism, investigation, or legal accusation",Formally or informally accuse,
ACCUSE,allege,"ACCUSE covers a wide range of events, including any kind of accusation, disapproval or criticism, investigation, or legal accusation",sue in court,
ACCUSE,allege,"ACCUSE covers a wide range of events, including any kind of accusation, disapproval or criticism, investigation, or legal accusation",criminally indict,
ACCUSE,allege,"ACCUSE covers a wide range of events, including any kind of accusation, disapproval or criticism, investigation, or legal accusation",charge with a crime,
ACCUSE,allege,"ACCUSE covers a wide range of events, including any kind of accusation, disapproval or criticism, investigation, or legal accusation",bring to trial (note: this does not include convictions),
REJECT,assist,All rejections and refusals.,reject a request for assistance,The ACTOR is the entity making the rejection. The RECIPIENT is the target of the rejection
REJECT,change,All rejections and refusals.,reject a request for change in policy,The ACTOR is the entity making the rejection. The RECIPIENT is the target of the rejection
REJECT,change,All rejections and refusals.,reject a request for change in institutions,The ACTOR is the entity making the rejection. The RECIPIENT is the target of the rejection
REJECT,change,All rejections and refusals.,reject a request for resignation,The ACTOR is the entity making the rejection. The RECIPIENT is the target of the rejection
REJECT,change,All rejections and refusals.,reject a call for change in policy,The ACTOR is the entity making the rejection. The RECIPIENT is the target of the rejection
REJECT,yield,All rejections and refusals.,reject a request to release prisoners or hostages,The ACTOR is the entity making the rejection. The RECIPIENT is the target of the rejection
REJECT,yield,All rejections and refusals.,reject a request to ease sanctions,The ACTOR is the entity making the rejection. The RECIPIENT is the target of the rejection
REJECT,yield,All rejections and refusals.,reject a request to lift a curfew,The ACTOR is the entity making the rejection. The RECIPIENT is the target of the rejection
REJECT,yield,All rejections and refusals.,reject a request for a ceasefire,The ACTOR is the entity making the rejection. The RECIPIENT is the target of the rejection
REJECT,meet,All rejections and refusals.,reject a request for a meeting,The ACTOR is the entity making the rejection. The RECIPIENT is the target of the rejection
REJECT,meet,All rejections and refusals.,reject a request for negotiations,The ACTOR is the entity making the rejection. The RECIPIENT is the target of the rejection
THREATEN,,"All threats, coercive or forceful warnings with serious potential repercussions. Threats are generally verbal acts except for purely symbolic material actions such as having an unarmed group place a flag on some territory.","All threats, coercive or forceful warnings with serious potential repercussions. Threats are generally verbal acts except for purely symbolic material actions such as having an unarmed group place a flag on some territory.",
THREATEN,restrict,"All threats, coercive or forceful warnings with serious potential repercussions. Threats are generally verbal acts except for purely symbolic material actions such as having an unarmed group place a flag on some territory.","threaten to restrict movement of people or goods, including boycotts, strikes, blockades, and curfews",
THREATEN,ban,"All threats, coercive or forceful warnings with serious potential repercussions. Threats are generally verbal acts except for purely symbolic material actions such as having an unarmed group place a flag on some territory.",Threaten to ban political activities of particular parties or individuals,
THREATEN,arrest,"All threats, coercive or forceful warnings with serious potential repercussions. Threats are generally verbal acts except for purely symbolic material actions such as having an unarmed group place a flag on some territory.","Threaten to arrest, detain, or imprison",
THREATEN,relations,"All threats, coercive or forceful warnings with serious potential repercussions. Threats are generally verbal acts except for purely symbolic material actions such as having an unarmed group place a flag on some territory.",Threaten to suspend relations or talks,
THREATEN,rights,"All threats, coercive or forceful warnings with serious potential repercussions. Threats are generally verbal acts except for purely symbolic material actions such as having an unarmed group place a flag on some territory.","Threaten to restrict civil rights such as speech, expression, and assembly",
THREATEN,expel,"All threats, coercive or forceful warnings with serious potential repercussions. Threats are generally verbal acts except for purely symbolic material actions such as having an unarmed group place a flag on some territory.","Threaten to expel diplomats, peacekeepers, NGOs, etc",
THREATEN,territory,"All threats, coercive or forceful warnings with serious potential repercussions. Threats are generally verbal acts except for purely symbolic material actions such as having an unarmed group place a flag on some territory.","Threaten to occupy, seize control of the whole or part of a territory",
THREATEN,violence,"All threats, coercive or forceful warnings with serious potential repercussions. Threats are generally verbal acts except for purely symbolic material actions such as having an unarmed group place a flag on some territory.",Threaten violence,
PROTEST,demo,All civilian demonstrations and other collective actions carried out as protests against the recipient.,"Organized protest/demonstration. Distinct, continuous, and largely peaceful action directed toward members of a distinct ‘other’ group or government authorities",
PROTEST,riot,All civilian demonstrations and other collective actions carried out as protests against the recipient.,"Violent riot. Distinct, continuous and violent action directed toward members of a distinct ‘other’ group or government authorities. The participants intend to cause physical injury and/or property damage",
PROTEST,strike,All civilian demonstrations and other collective actions carried out as protests against the recipient.,"Labor strike. Members of an organization or union engage in the abandonment of work- places, either within specific sectors/industries or across sectors/industries",
PROTEST,hunger,All civilian demonstrations and other collective actions carried out as protests against the recipient.,Hunger strike,
PROTEST,boycott,All civilian demonstrations and other collective actions carried out as protests against the recipient.,"The boycott of an activity, person, country, or organization via the withdrawal of commercial or social relations",
PROTEST,obstruct,All civilian demonstrations and other collective actions carried out as protests against the recipient.,Protest by obstructing passage or access to a particular locale,
SANCTION,convict,"All reductions in existing, routine, or cooperative relations","Find an entity or behavior guilty, unconstitutional",
SANCTION,convict,"All reductions in existing, routine, or cooperative relations",find someone liable in a court of law or legally constituted tribunal,
SANCTION,convict,"All reductions in existing, routine, or cooperative relations",entity is discussed as being found guilty and sentenced or sanctioned via court-order,
SANCTION,expel,"All reductions in existing, routine, or cooperative relations","Permanently or temporarily expel an entity from a group, organization, political party, or country.",
SANCTION,withdraw,"All reductions in existing, routine, or cooperative relations","A country withdraws itself from an organization, treaty, or group",
SANCTION,withdraw,"All reductions in existing, routine, or cooperative relations",Withdraw resources from an organization or activity,
SANCTION,withdraw,"All reductions in existing, routine, or cooperative relations",Withdraw aid from a recipient,
SANCTION,discontinue,"All reductions in existing, routine, or cooperative relations","Curtail, decrease, break, or terminate diplomatic, commercial, or material ex- changes",
MOBILIZE,troops,"All military or police moves, deployments, activations, etc. that fall short of the actual use of force. Note that the *use* of forces does not fall under this definition.",Mobilize armed personnel or units (excluding police),
MOBILIZE,weapons,"All military or police moves, deployments, activations, etc. that fall short of the actual use of force. Note that the *use* of forces does not fall under this definition.",Increase readiness of weapons systems,
MOBILIZE,weapons,"All military or police moves, deployments, activations, etc. that fall short of the actual use of force. Note that the *use* of forces does not fall under this definition.",Test weapons systems,
MOBILIZE,police,"All military or police moves, deployments, activations, etc. that fall short of the actual use of force. Note that the *use* of forces does not fall under this definition.",Mobilize or increase readiness of police or security units,
MOBILIZE,militia,"All military or police moves, deployments, activations, etc. that fall short of the actual use of force. Note that the *use* of forces does not fall under this definition.",Mobilize or increase readiness of any militia or non-state entity with significant military capability,
COERCE,seize,"Repression, restrictions on rights, or coercive uses of power falling short of violence.",Police or other authorities executing a search,
COERCE,seize,"Repression, restrictions on rights, or coercive uses of power falling short of violence.",Police or other authorities confiscating or seizing property,
COERCE,seize,"Repression, restrictions on rights, or coercive uses of power falling short of violence.",Police or other authorities carrying out a law enforcement raid,
COERCE,restrict,"Repression, restrictions on rights, or coercive uses of power falling short of violence.",Impose restrictions on political freedoms or movement,
COERCE,restrict,"Repression, restrictions on rights, or coercive uses of power falling short of violence.",Security forces cordoning off areas,
COERCE,ban,"Repression, restrictions on rights, or coercive uses of power falling short of violence.",Ban individuals or organizations,
COERCE,censor,"Repression, restrictions on rights, or coercive uses of power falling short of violence.","Censor, ban or restrict access to publications or other information",
COERCE,curfew,"Repression, restrictions on rights, or coercive uses of power falling short of violence.",Impose state of emergency or martial law,
COERCE,arrest,"Repression, restrictions on rights, or coercive uses of power falling short of violence.",Arrest or detain people,
COERCE,deport,"Repression, restrictions on rights, or coercive uses of power falling short of violence.",Expel or deport individuals,
COERCE,withhold,"Repression, restrictions on rights, or coercive uses of power falling short of violence.",Withhold public goods/services,
COERCE,withhold,"Repression, restrictions on rights, or coercive uses of power falling short of violence.",shut off power/internet/water/ utilities,
COERCE,withhold,"Repression, restrictions on rights, or coercive uses of power falling short of violence.",withhold food/medical supplies,
COERCE,misinformation,"Repression, restrictions on rights, or coercive uses of power falling short of violence.",engage in deception/manipulation/misinformation operations,
COERCE,cyber,"Repression, restrictions on rights, or coercive uses of power falling short of violence.","Engage in cyber attacks and crime, including hacking, security breaches, website attacks",
ASSAULT,abduct,"ASSAULT events are deliberate actions which can potentially result in substantial physical harm, including violence, battles, or assaults.",Abduct or kidnap people,
ASSAULT,abduct,"ASSAULT events are deliberate actions which can potentially result in substantial physical harm, including violence, battles, or assaults.","hijack planes, buses, or other vehicles",
ASSAULT,beat,"ASSAULT events are deliberate actions which can potentially result in substantial physical harm, including violence, battles, or assaults.","beating; physically assault by striking individuals or groups with one-off or repeated blows, typically administered manually or by blunt instrument",
ASSAULT,torture,"ASSAULT events are deliberate actions which can potentially result in substantial physical harm, including violence, battles, or assaults.",torture,
ASSAULT,execute,"ASSAULT events are deliberate actions which can potentially result in substantial physical harm, including violence, battles, or assaults.",Judicially-sanctioned execution,
ASSAULT,sexual,"ASSAULT events are deliberate actions which can potentially result in substantial physical harm, including violence, battles, or assaults.",sexual violence,
ASSAULT,assassinate,"ASSAULT events are deliberate actions which can potentially result in substantial physical harm, including violence, battles, or assaults.",Targeted assassinations (both successful and attempted) with any weapon,
ASSAULT,destroy,"ASSAULT events are deliberate actions which can potentially result in substantial physical harm, including violence, battles, or assaults.","Destroy property, demolish as part of a conflict",
ASSAULT,primitive,"ASSAULT events are deliberate actions which can potentially result in substantial physical harm, including violence, battles, or assaults.","Attack someone with primitive weapons: fire, edged weapons, rocks, farm implements",
ASSAULT,firearms,"ASSAULT events are deliberate actions which can potentially result in substantial physical harm, including violence, battles, or assaults.","Use firearms, including fifles, pistols, light machine guns to attack someone.",
ASSAULT,explosives,"ASSAULT events are deliberate actions which can potentially result in substantial physical harm, including violence, battles, or assaults.","Use mines, IEDS, car bombs (excludes suicide attacks)",
ASSAULT,suicide-attack,"ASSAULT events are deliberate actions which can potentially result in substantial physical harm, including violence, battles, or assaults.","Use suicide attacks, both individual attacks and suicide car bombings",
ASSAULT,aerial,"ASSAULT events are deliberate actions which can potentially result in substantial physical harm, including violence, battles, or assaults.","Use any manned aerial vehicles, e.g. aircraft, helicopters to carry out an attack",
ASSAULT,drone,"ASSAULT events are deliberate actions which can potentially result in substantial physical harm, including violence, battles, or assaults.","Use unmanned aerial vehicles (UAVs), drones to carry out an attack",
ASSAULT,heavy-weapons,"ASSAULT events are deliberate actions which can potentially result in substantial physical harm, including violence, battles, or assaults.","Attack someone using heavy weapons, including artillery, rocket launchers, armored vehicles, tanks, and similar weapons",
ASSAULT,crowd-control,"ASSAULT events are deliberate actions which can potentially result in substantial physical harm, including violence, battles, or assaults.","Use ""crowd control"" weapons, including tear gas, water cannons, firing weapons in the air, lathi charges, etc.",
ASSAULT,cleansing,"ASSAULT events are deliberate actions which can potentially result in substantial physical harm, including violence, battles, or assaults.",Engage in mass expulsions or deportations,
ASSAULT,cleansing,"ASSAULT events are deliberate actions which can potentially result in substantial physical harm, including violence, battles, or assaults.",Engage in ethnic cleansing,
ASSAULT,massacre,"ASSAULT events are deliberate actions which can potentially result in substantial physical harm, including violence, battles, or assaults.",Instances of mass killing or massacres,
ASSAULT,unconventional,"ASSAULT events are deliberate actions which can potentially result in substantial physical harm, including violence, battles, or assaults.","Use of chemical, biological, radiation, and nuclear weapons",
